date,lat,lon,zone,deaths,confirmed
221,-8.1,-79.0306,1,2238.0,30582.0
221,-6.7669,-79.8506,1,1728.0,27080.0
221,-3.7481,-73.2442,1,958.0,20408.0
221,-5.1525,-80.6578,1,1998.0,36943.0
221,-6.0347,-76.9742,1,715.0,19443.0
221,-3.5711,-80.4592,1,305.0,7677.0
222,-6.2294,-77.8728,1,219.0,15726.0
222,-7.1547,-78.5108,1,494.0,20992.0
222,-8.1,-79.0306,1,2245.0,30775.0
222,-6.7669,-79.8506,1,1735.0,27204.0
222,-3.7481,-73.2442,1,959.0,20515.0
222,-5.1525,-80.6578,1,1998.0,37032.0
222,-6.0347,-76.9742,1,717.0,19509.0
222,-3.5711,-80.4592,1,306.0,7687.0
223,-6.2294,-77.8728,1,219.0,15763.0
223,-7.1547,-78.5108,1,495.0,21066.0
223,-8.1,-79.0306,1,2255.0,30886.0
223,-6.7669,-79.8506,1,1739.0,27277.0
223,-3.7481,-73.2442,1,961.0,20654.0
223,-5.1525,-80.6578,1,2000.0,37101.0
223,-6.0347,-76.9742,1,718.0,19577.0
223,-3.5711,-80.4592,1,307.0,7712.0
224,-6.2294,-77.8728,1,220.0,15804.0
224,-7.1547,-78.5108,1,495.0,21143.0
224,-8.1,-79.0306,1,2257.0,31005.0
224,-6.7669,-79.8506,1,1746.0,27348.0
224,-3.7481,-73.2442,1,964.0,20817.0
224,-5.1525,-80.6578,1,2001.0,37168.0
224,-6.0347,-76.9742,1,718.0,19658.0
224,-3.5711,-80.4592,1,307.0,7744.0
225,-6.2294,-77.8728,1,220.0,15848.0
225,-7.1547,-78.5108,1,495.0,21231.0
225,-8.1,-79.0306,1,2260.0,31143.0
225,-6.7669,-79.8506,1,1747.0,27495.0
225,-3.7481,-73.2442,1,965.0,20952.0
225,-5.1525,-80.6578,1,2002.0,37266.0
225,-6.0347,-76.9742,1,719.0,19775.0
225,-3.5711,-80.4592,1,310.0,7792.0
226,-6.2294,-77.8728,1,220.0,15882.0
226,-7.1547,-78.5108,1,497.0,21315.0
226,-8.1,-79.0306,1,2263.0,31390.0
226,-6.7669,-79.8506,1,1750.0,27653.0
226,-3.7481,-73.2442,1,966.0,21085.0
226,-5.1525,-80.6578,1,2008.0,37369.0
226,-6.0347,-76.9742,1,720.0,19855.0
226,-3.5711,-80.4592,1,312.0,7914.0
227,-6.2294,-77.8728,1,221.0,15918.0
227,-7.1547,-78.5108,1,498.0,21384.0
227,-8.1,-79.0306,1,2264.0,31459.0
227,-6.7669,-79.8506,1,1751.0,27743.0
227,-3.7481,-73.2442,1,966.0,21129.0
227,-5.1525,-80.6578,1,2009.0,37433.0
227,-6.0347,-76.9742,1,720.0,19901.0
227,-3.5711,-80.4592,1,312.0,7937.0
228,-6.2294,-77.8728,1,222.0,15962.0
228,-7.1547,-78.5108,1,504.0,21465.0
228,-8.1,-79.0306,1,2266.0,31584.0
228,-6.7669,-79.8506,1,1756.0,27820.0
228,-3.7481,-73.2442,1,966.0,21265.0
228,-5.1525,-80.6578,1,2013.0,37496.0
228,-6.0347,-76.9742,1,721.0,20016.0
228,-3.5711,-80.4592,1,313.0,7974.0
229,-6.2294,-77.8728,1,223.0,16035.0
229,-7.1547,-78.5108,1,504.0,21529.0
229,-8.1,-79.0306,1,2268.0,31704.0
229,-6.7669,-79.8506,1,1758.0,27879.0
229,-3.7481,-73.2442,1,966.0,21373.0
229,-5.1525,-80.6578,1,2018.0,37614.0
229,-6.0347,-76.9742,1,722.0,20145.0
229,-3.5711,-80.4592,1,313.0,8043.0
230,-6.2294,-77.8728,1,225.0,16114.0
230,-7.1547,-78.5108,1,506.0,21599.0
230,-8.1,-79.0306,1,2268.0,31836.0
230,-6.7669,-79.8506,1,1760.0,28017.0
230,-3.7481,-73.2442,1,967.0,21428.0
230,-5.1525,-80.6578,1,2020.0,37696.0
230,-6.0347,-76.9742,1,722.0,20259.0
230,-3.5711,-80.4592,1,313.0,8097.0
231,-6.2294,-77.8728,1,225.0,16217.0
231,-7.1547,-78.5108,1,506.0,21715.0
231,-8.1,-79.0306,1,2270.0,31979.0
231,-6.7669,-79.8506,1,1763.0,28120.0
231,-3.7481,-73.2442,1,967.0,21520.0
231,-5.1525,-80.6578,1,2020.0,37787.0
231,-6.0347,-76.9742,1,722.0,20392.0
231,-3.5711,-80.4592,1,314.0,8159.0
232,-6.2294,-77.8728,1,226.0,16308.0
232,-7.1547,-78.5108,1,508.0,21824.0
232,-8.1,-79.0306,1,2273.0,32116.0
232,-6.7669,-79.8506,1,1766.0,28234.0
232,-3.7481,-73.2442,1,968.0,21593.0
232,-5.1525,-80.6578,1,2020.0,37903.0
232,-6.0347,-76.9742,1,727.0,20519.0
232,-3.5711,-80.4592,1,314.0,8235.0
233,-6.2294,-77.8728,1,226.0,16366.0
233,-7.1547,-78.5108,1,512.0,21875.0
233,-8.1,-79.0306,1,2276.0,32263.0
233,-6.7669,-79.8506,1,1769.0,28321.0
233,-3.7481,-73.2442,1,969.0,21676.0
233,-5.1525,-80.6578,1,2023.0,37983.0
233,-6.0347,-76.9742,1,728.0,20658.0
233,-3.5711,-80.4592,1,314.0,8285.0
234,-6.2294,-77.8728,1,226.0,16429.0
234,-7.1547,-78.5108,1,513.0,21926.0
234,-8.1,-79.0306,1,2277.0,32350.0
234,-6.7669,-79.8506,1,1770.0,28403.0
234,-3.7481,-73.2442,1,971.0,21711.0
234,-5.1525,-80.6578,1,2023.0,38016.0
234,-6.0347,-76.9742,1,730.0,20718.0
234,-3.5711,-80.4592,1,315.0,8304.0
235,-6.2294,-77.8728,1,226.0,16461.0
235,-7.1547,-78.5108,1,513.0,21971.0
235,-8.1,-79.0306,1,2281.0,32424.0
235,-6.7669,-79.8506,1,1770.0,28437.0
235,-3.7481,-73.2442,1,971.0,21754.0
235,-5.1525,-80.6578,1,2026.0,38079.0
235,-6.0347,-76.9742,1,731.0,20828.0
235,-3.5711,-80.4592,1,315.0,8339.0
236,-6.2294,-77.8728,1,226.0,16511.0
236,-7.1547,-78.5108,1,513.0,22026.0
236,-8.1,-79.0306,1,2286.0,32516.0
236,-6.7669,-79.8506,1,1773.0,28510.0
236,-3.7481,-73.2442,1,971.0,21872.0
236,-5.1525,-80.6578,1,2027.0,38151.0
236,-6.0347,-76.9742,1,731.0,20932.0
236,-3.5711,-80.4592,1,315.0,8375.0
237,-6.2294,-77.8728,1,226.0,16575.0
237,-7.1547,-78.5108,1,515.0,22069.0
237,-8.1,-79.0306,1,2289.0,32615.0
237,-6.7669,-79.8506,1,1775.0,28578.0
