date,region,region_orig,deaths,confirmed
45,UCAYALI,UCAYALI,3.0,120.0
46,ANCASH,ANCASH,23.0,334.0
46,AREQUIPA,AREQUIPA,8.0,273.0
46,CAJAMARCA,CAJAMARCA,2.0,73.0
46,CALLAO,CALLAO,36.0,1369.0
46,CUSCO,CUSCO,3.0,132.0
46,HUANCAVELICA,HUANCAVELICA,1.0,16.0
46,ICA,ICA,6.0,195.0
46,JUNIN,JUNIN,1.0,178.0
46,LA LIBERTAD,LA LIBERTAD,17.0,303.0
46,LAMBAYEQUE,LAMBAYEQUE,90.0,741.0
46,LIMA,LIMA,227.0,12256.0
46,LORETO,LORETO,19.0,617.0
46,PIURA,PIURA,37.0,475.0
46,SAN MARTIN,SAN MARTIN,1.0,100.0
46,TUMBES,TUMBES,10.0,198.0
46,UCAYALI,UCAYALI,3.0,149.0
47,ANCASH,ANCASH,26.0,365.0
47,AREQUIPA,AREQUIPA,8.0,276.0
47,CAJAMARCA,CAJAMARCA,2.0,78.0
47,CALLAO,CALLAO,39.0,1416.0
47,CUSCO,CUSCO,3.0,147.0
47,HUANCAVELICA,HUANCAVELICA,1.0,19.0
47,ICA,ICA,6.0,213.0
47,JUNIN,JUNIN,1.0,207.0
47,LA LIBERTAD,LA LIBERTAD,17.0,318.0
47,LAMBAYEQUE,LAMBAYEQUE,97.0,864.0
47,LIMA,LIMA,247.0,13214.0
47,LORETO,LORETO,23.0,653.0
47,PASCO,PASCO,1.0,46.0
47,PIURA,PIURA,45.0,514.0
47,SAN MARTIN,SAN MARTIN,1.0,107.0
47,TUMBES,TUMBES,10.0,205.0
47,UCAYALI,UCAYALI,3.0,172.0
48,ANCASH,ANCASH,28.0,352.0
48,AREQUIPA,AREQUIPA,8.0,291.0
48,CAJAMARCA,CAJAMARCA,2.0,90.0
48,CALLAO,CALLAO,39.0,1536.0
48,CUSCO,CUSCO,3.0,158.0
48,HUANCAVELICA,HUANCAVELICA,1.0,21.0
48,ICA,ICA,6.0,248.0
48,JUNIN,JUNIN,1.0,206.0
48,LA LIBERTAD,LA LIBERTAD,17.0,391.0
48,LAMBAYEQUE,LAMBAYEQUE,111.0,968.0
48,LIMA,LIMA,267.0,14300.0
48,LORETO,LORETO,23.0,700.0
48,PASCO,PASCO,1.0,48.0
48,PIURA,PIURA,45.0,568.0
48,SAN MARTIN,SAN MARTIN,1.0,111.0
48,TUMBES,TUMBES,16.0,233.0
48,UCAYALI,UCAYALI,3.0,210.0
49,ANCASH,ANCASH,29.0,361.0
49,AREQUIPA,AREQUIPA,10.0,311.0
49,CAJAMARCA,CAJAMARCA,2.0,92.0
49,CALLAO,CALLAO,40.0,1591.0
49,CUSCO,CUSCO,3.0,160.0
49,HUANCAVELICA,HUANCAVELICA,1.0,23.0
49,HUANUCO,HUANUCO,1.0,116.0
49,ICA,ICA,6.0,258.0
49,JUNIN,JUNIN,4.0,219.0
49,LA LIBERTAD,LA LIBERTAD,23.0,410.0
49,LAMBAYEQUE,LAMBAYEQUE,119.0,974.0
49,LIMA,LIMA,290.0,14814.0
49,LORETO,LORETO,29.0,708.0
49,PASCO,PASCO,1.0,61.0
49,PIURA,PIURA,45.0,585.0
49,SAN MARTIN,SAN MARTIN,1.0,117.0
49,TUMBES,TUMBES,19.0,234.0
49,UCAYALI,UCAYALI,11.0,226.0
50,ANCASH,ANCASH,33.0,464.0
50,AREQUIPA,AREQUIPA,10.0,364.0
50,CAJAMARCA,CAJAMARCA,2.0,105.0
50,CALLAO,CALLAO,44.0,2436.0
50,CUSCO,CUSCO,3.0,174.0
50,HUANCAVELICA,HUANCAVELICA,1.0,33.0
50,HUANUCO,HUANUCO,1.0,160.0
50,ICA,ICA,6.0,268.0
50,JUNIN,JUNIN,4.0,257.0
50,LA LIBERTAD,LA LIBERTAD,23.0,481.0
50,LAMBAYEQUE,LAMBAYEQUE,119.0,1388.0
50,LIMA,LIMA,303.0,16567.0
50,LORETO,LORETO,36.0,742.0
50,PASCO,PASCO,1.0,68.0
50,PIURA,PIURA,79.0,669.0
50,SAN MARTIN,SAN MARTIN,1.0,121.0
50,TACNA,TACNA,1.0,67.0
50,TUMBES,TUMBES,19.0,240.0
50,UCAYALI,UCAYALI,14.0,323.0
51,ANCASH,ANCASH,35.0,506.0
51,AREQUIPA,AREQUIPA,10.0,396.0
51,CAJAMARCA,CAJAMARCA,2.0,128.0
51,CALLAO,CALLAO,44.0,2615.0
51,CUSCO,CUSCO,3.0,182.0
51,HUANCAVELICA,HUANCAVELICA,1.0,40.0
51,ICA,ICA,6.0,284.0
51,JUNIN,JUNIN,4.0,284.0
51,LA LIBERTAD,LA LIBERTAD,23.0,503.0
51,LAMBAYEQUE,LAMBAYEQUE,143.0,1602.0
51,LIMA,LIMA,303.0,17884.0
51,LORETO,LORETO,39.0,786.0
51,PASCO,PASCO,1.0,78.0
51,PIURA,PIURA,79.0,790.0
51,SAN MARTIN,SAN MARTIN,1.0,151.0
51,TACNA,TACNA,1.0,68.0
51,TUMBES,TUMBES,19.0,250.0
51,UCAYALI,UCAYALI,14.0,349.0
52,ANCASH,ANCASH,34.0,547.0
52,AREQUIPA,AREQUIPA,11.0,479.0
52,CAJAMARCA,CAJAMARCA,2.0,141.0
52,CALLAO,CALLAO,50.0,2672.0
52,CUSCO,CUSCO,3.0,196.0
52,HUANCAVELICA,HUANCAVELICA,1.0,48.0
52,ICA,ICA,6.0,339.0
52,JUNIN,JUNIN,4.0,290.0
52,LA LIBERTAD,LA LIBERTAD,23.0,553.0
52,LAMBAYEQUE,LAMBAYEQUE,149.0,1651.0
52,LIMA,LIMA,332.0,18571.0
52,LORETO,LORETO,39.0,827.0
52,PASCO,PASCO,1.0,82.0
52,PIURA,PIURA,92.0,816.0
52,SAN MARTIN,SAN MARTIN,1.0,166.0
52,TACNA,TACNA,1.0,71.0
52,TUMBES,TUMBES,19.0,250.0
52,UCAYALI,UCAYALI,14.0,370.0
53,ANCASH,ANCASH,39.0,598.0
53,AREQUIPA,AREQUIPA,11.0,501.0
53,CAJAMARCA,CAJAMARCA,3.0,156.0
53,CALLAO,CALLAO,52.0,2933.0
53,CUSCO,CUSCO,3.0,202.0
53,HUANCAVELICA,HUANCAVELICA,1.0,57.0
53,ICA,ICA,28.0,353.0
53,JUNIN,JUNIN,4.0,331.0
53,LA LIBERTAD,LA LIBERTAD,23.0,585.0
53,LAMBAYEQUE,LAMBAYEQUE,159.0,1814.0
53,LIMA,LIMA,358.0,20048.0
53,LORETO,LORETO,45.0,881.0
53,PASCO,PASCO,1.0,90.0
53,PIURA,PIURA,92.0,960.0
53,SAN MARTIN,SAN MARTIN,1.0,178.0
53,TACNA,TACNA,1.0,77.0
53,TUMBES,TUMBES,19.0,275.0
53,UCAYALI,UCAYALI,14.0,454.0
54,ANCASH,ANCASH,52.0,630.0
54,AREQUIPA,AREQUIPA,11.0,529.0
54,CAJAMARCA,CAJAMARCA,3.0,162.0
54,CALLAO,CALLAO,52.0,3101.0
54,CUSCO,CUSCO,3.0,203.0
54,HUANCAVELICA,HUANCAVELICA,1.0,75.0
54,ICA,ICA,28.0,401.0
54,JUNIN,JUNIN,4.0,373.0
54,LA LIBERTAD,LA LIBERTAD,23.0,615.0
54,LAMBAYEQUE,LAMBAYEQUE,172.0,1956.0
54,LIMA,LIMA,404.0,21854.0
54,LORETO,LORETO,51.0,1003.0
54,PASCO,PASCO,1.0,95.0
